,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
404,2022,SE,FT,Data Engineer,175000,USD,US,100,US,M
405,2022,MI,FT,Data Engineer,75000,GBP,GB,0,GB,M
406,2022,MI,FT,Data Analyst,58000,USD,US,0,US,S
407,2022,SE,FT,Data Engineer,183600,USD,US,100,US,L
408,2022,MI,FT,Data Analyst,40000,GBP,GB,100,GB,M
409,2022,SE,FT,Data Scientist,180000,USD,US,100,US,M
410,2022,MI,FT,Data Scientist,55000,GBP,GB,0,GB,M
411,2022,MI,FT,Data Scientist,35000,GBP,GB,0,GB,M
412,2022,MI,FT,Data Engineer,60000,EUR,GR,100,GR,M
413,2022,MI,FT,Data Engineer,45000,EUR,GR,100,GR,M
414,2022,MI,FT,Data Engineer,60000,GBP,GB,100,GB,M
415,2022,MI,FT,Data Engineer,45000,GBP,GB,100,GB,M
416,2022,SE,FT,Data Scientist,260000,USD,US,100,US,M
417,2022,SE,FT,Data Science Engineer,60000,USD,AR,100,MX,L
418,2022,MI,FT,Data Engineer,63900,USD,US,0,US,M
419,2022,MI,FT,Machine Learning Scientist,160000,USD,US,100,US,L
420,2022,MI,FT,Machine Learning Scientist,112300,USD,US,100,US,L
421,2022,MI,FT,Data Science Manager,241000,USD,US,100,US,M
422,2022,MI,FT,Data Science Manager,159000,USD,US,100,US,M
423,2022,SE,FT,Data Scientist,180000,USD,US,0,US,M
424,2022,SE,FT,Data Scientist,80000,USD,US,0,US,M
425,2022,MI,FT,Data Engineer,82900,USD,US,0,US,M
426,2022,SE,FT,Data Engineer,100800,USD,US,100,US,L
427,2022,MI,FT,Data Engineer,45000,EUR,ES,100,ES,M
428,2022,SE,FT,Data Scientist,140400,USD,US,0,US,L
429,2022,MI,FT,Data Analyst,30000,GBP,GB,100,GB,M
430,2022,MI,FT,Data Analyst,40000,EUR,ES,100,ES,M
431,2022,MI,FT,Data Analyst,30000,EUR,ES,100,ES,M
432,2022,MI,FT,Data Engineer,80000,EUR,ES,100,ES,M
433,2022,MI,FT,Data Engineer,70000,EUR,ES,100,ES,M
434,2022,MI,FT,Data Engineer,80000,GBP,GB,100,GB,M
435,2022,MI,FT,Data Engineer,70000,GBP,GB,100,GB,M
436,2022,MI,FT,Data Engineer,60000,EUR,ES,100,ES,M
437,2022,MI,FT,Data Engineer,80000,EUR,GR,100,GR,M
438,2022,SE,FT,Machine Learning Engineer,189650,USD,US,0,US,M
439,2022,SE,FT,Machine Learning Engineer,164996,USD,US,0,US,M
440,2022,MI,FT,Data Analyst,40000,EUR,GR,100,GR,M
441,2022,MI,FT,Data Analyst,30000,EUR,GR,100,GR,M
442,2022,MI,FT,Data Engineer,75000,GBP,GB,100,GB,M
443,2022,MI,FT,Data Engineer,60000,GBP,GB,100,GB,M
444,2022,SE,FT,Data Scientist,215300,USD,US,0,US,L
445,2022,MI,FT,Data Engineer,70000,EUR,GR,100,GR,M
446,2022,SE,FT,Data Engineer,209100,USD,US,100,US,L
447,2022,SE,FT,Data Engineer,154600,USD,US,100,US,L
448,2022,SE,FT,Data Engineer,180000,USD,US,100,US,M
449,2022,EN,FT,ML Engineer,20000,EUR,PT,100,PT,L
450,2022,SE,FT,Data Engineer,80000,USD,US,100,US,M
451,2022,MI,FT,Machine Learning Developer,100000,CAD,CA,100,CA,M
452,2022,EX,FT,Director of Data Science,250000,CAD,CA,50,CA,L
453,2022,MI,FT,Machine Learning Engineer,120000,USD,US,100,US,S
454,2022,EN,FT,Computer Vision Engineer,125000,USD,US,0,US,M
455,2022,MI,FT,NLP Engineer,240000,CNY,US,50,US,L
456,2022,SE,FT,Data Engineer,105000,USD,US,100,US,M
457,2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,DE,0,DE,M
458,2022,MI,FT,Business Data Analyst,1400000,INR,IN,100,IN,M
459,2022,MI,FT,Data Scientist,2400000,INR,IN,100,IN,L
460,2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,PT,50,PT,L
461,2022,EN,FT,Financial Data Analyst,100000,USD,US,50,US,L
462,2022,MI,PT,Data Engineer,50000,EUR,DE,50,DE,L
463,2022,EN,FT,Data Scientist,1400000,INR,IN,100,IN,M
464,2022,SE,FT,Principal Data Scientist,148000,EUR,DE,100,DE,M
465,2022,EN,FT,Data Engineer,120000,USD,US,100,US,M
466,2022,SE,FT,Research Scientist,144000,USD,US,50,US,L
467,2022,SE,FT,Data Scientist,104890,USD,US,100,US,M
468,2022,SE,FT,Data Engineer,100000,USD,US,100,US,M
469,2022,SE,FT,Data Scientist,140000,USD,US,100,US,M
470,2022,MI,FT,Data Analyst,135000,USD,US,100,US,M
471,2022,MI,FT,Data Analyst,50000,USD,US,100,US,M
472,2022,SE,FT,Data Scientist,220000,USD,US,100,US,M
473,2022,SE,FT,Data Scientist,140000,USD,US,100,US,M
474,2022,MI,FT,Data Scientist,140000,GBP,GB,0,GB,M
475,2022,MI,FT,Data Scientist,70000,GBP,GB,0,GB,M
476,2022,SE,FT,Data Scientist,185100,USD,US,100,US,M
477,2022,SE,FT,Machine Learning Engineer,220000,USD,US,100,US,M
478,2022,MI,FT,Data Scientist,200000,USD,US,100,US,M
479,2022,MI,FT,Data Scientist,120000,USD,US,100,US,M
480,2022,SE,FT,Machine Learning Engineer,120000,USD,AE,100,AE,S
481,2022,SE,FT,Machine Learning Engineer,65000,USD,AE,100,AE,S
482,2022,EX,FT,Data Engineer,324000,USD,US,100,US,M
483,2022,EX,FT,Data Engineer,216000,USD,US,100,US,M
484,2022,SE,FT,Data Engineer,210000,USD,US,100,US,M
485,2022,SE,FT,Machine Learning Engineer,120000,USD,US,100,US,M
486,2022,SE,FT,Data Scientist,230000,USD,US,100,US,M
487,2022,EN,PT,Data Scientist,100000,USD,DZ,50,DZ,M
488,2022,MI,FL,Data Scientist,100000,USD,CA,100,US,M
489,2022,EN,CT,Applied Machine Learning Scientist,29000,EUR,TN,100,CZ,M
490,2022,SE,FT,Head of Data,200000,USD,MY,100,US,M
491,2022,MI,FT,Principal Data Analyst,75000,USD,CA,100,CA,S
492,2022,MI,FT,Data Scientist,150000,PLN,PL,100,PL,L
493,2022,SE,FT,Machine Learning Developer,100000,CAD,CA,100,CA,M
494,2022,SE,FT,Data Scientist,100000,USD,BR,100,US,M
495,2022,MI,FT,Machine Learning Scientist,153000,USD,US,50,US,M
496,2022,EN,FT,Data Engineer,52800,EUR,PK,100,DE,M
497,2022,SE,FT,Data Scientist,165000,USD,US,100,US,M
498,2022,SE,FT,Research Scientist,85000,EUR,FR,50,FR,L
499,2022,EN,FT,Data Scientist,66500,CAD,CA,100,CA,L
500,2022,SE,FT,Machine Learning Engineer,57000,EUR,NL,100,NL,L
501,2022,MI,FT,Head of Data,30000,EUR,EE,100,EE,S
502,2022,EN,FT,Data Scientist,40000,USD,JP,100,MY,L
503,2022,MI,FT,Machine Learning Engineer,121000,AUD,AU,100,AU,L
504,2022,SE,FT,Data Engineer,115000,USD,US,100,US,M
505,2022,EN,FT,Data Scientist,120000,AUD,AU,50,AU,M
506,2022,MI,FT,Applied Machine Learning Scientist,75000,USD,BO,100,US,L
507,2022,MI,FT,Research Scientist,59000,EUR,AT,0,AT,L
508,2022,EN,FT,Research Scientist,120000,USD,US,100,US,L
509,2022,MI,FT,Applied Data Scientist,157000,USD,US,100,US,L
510,2022,EN,FT,Computer Vision Software Engineer,150000,USD,AU,100,AU,S
511,2022,MI,FT,Business Data Analyst,90000,CAD,CA,50,CA,L
512,2022,EN,FT,Data Engineer,65000,USD,US,100,US,S
513,2022,SE,FT,Machine Learning Engineer,65000,EUR,IE,100,IE,S
514,2022,EN,FT,Data Analytics Engineer,20000,USD,PK,0,PK,M
515,2022,MI,FT,Data Scientist,48000,USD,RU,100,US,S
516,2022,SE,FT,Data Science Manager,152500,USD,US,100,US,M
517,2022,MI,FT,Data Engineer,62000,EUR,FR,100,FR,M
518,2022,MI,FT,Data Scientist,115000,CHF,CH,0,CH,L
519,2022,SE,FT,Applied Data Scientist,380000,USD,US,100,US,L
520,2022,MI,FT,Data Scientist,88000,CAD,CA,100,CA,M
521,2022,EN,FT,Computer Vision Engineer,10000,USD,PT,100,LU,M
522,2022,MI,FT,Data Analyst,20000,USD,GR,100,GR,S
523,2022,SE,FT,Data Analytics Lead,405000,USD,US,100,US,L
524,2022,MI,FT,Data Scientist,135000,USD,US,100,US,L
525,2022,SE,FT,Applied Data Scientist,177000,USD,US,100,US,L
526,2022,MI,FT,Data Scientist,78000,USD,US,100,US,M
527,2022,SE,FT,Data Analyst,135000,USD,US,100,US,M
528,2022,SE,FT,Data Analyst,100000,USD,US,100,US,M
529,2022,SE,FT,Data Analyst,90320,USD,US,100,US,M
530,2022,MI,FT,Data Analyst,85000,USD,CA,0,CA,M
531,2022,MI,FT,Data Analyst,75000,USD,CA,0,CA,M
532,2022,SE,FT,Machine Learning Engineer,214000,USD,US,100,US,M
533,2022,SE,FT,Machine Learning Engineer,192600,USD,US,100,US,M
534,2022,SE,FT,Data Architect,266400,USD,US,100,US,M
535,2022,SE,FT,Data Architect,213120,USD,US,100,US,M
536,2022,SE,FT,Data Analyst,112900,USD,US,100,US,M
537,2022,SE,FT,Data Engineer,155000,USD,US,100,US,M
538,2022,MI,FT,Data Scientist,141300,USD,US,0,US,M
539,2022,MI,FT,Data Scientist,102100,USD,US,0,US,M
540,2022,SE,FT,Data Analyst,115934,USD,US,100,US,M
541,2022,SE,FT,Data Analyst,81666,USD,US,100,US,M
542,2022,MI,FT,Data Engineer,206699,USD,US,0,US,M
543,2022,MI,FT,Data Engineer,99100,USD,US,0,US,M
544,2022,SE,FT,Data Engineer,130000,USD,US,100,US,M
545,2022,SE,FT,Data Engineer,115000,USD,US,100,US,M
546,2022,SE,FT,Data Engineer,110500,USD,US,100,US,M
547,2022,SE,FT,Data Engineer,130000,USD,US,100,US,M
548,2022,SE,FT,Data Analyst,99050,USD,US,100,US,M
549,2022,SE,FT,Data Engineer,160000,USD,US,100,US,M
550,2022,SE,FT,Data Scientist,205300,USD,US,0,US,L
551,2022,SE,FT,Data Scientist,140400,USD,US,0,US,L
552,2022,SE,FT,Data Scientist,176000,USD,US,100,US,M
553,2022,SE,FT,Data Scientist,144000,USD,US,100,US,M
554,2022,SE,FT,Data Engineer,200100,USD,US,100,US,M
555,2022,SE,FT,Data Engineer,160000,USD,US,100,US,M
556,2022,SE,FT,Data Engineer,145000,USD,US,100,US,M
557,2022,SE,FT,Data Engineer,70500,USD,US,0,US,M
558,2022,SE,FT,Data Scientist,205300,USD,US,0,US,M
559,2022,SE,FT,Data Scientist,140400,USD,US,0,US,M
560,2022,SE,FT,Analytics Engineer,205300,USD,US,0,US,M
561,2022,SE,FT,Analytics Engineer,184700,USD,US,0,US,M
562,2022,SE,FT,Data Engineer,175100,USD,US,100,US,M
563,2022,SE,FT,Data Engineer,140250,USD,US,100,US,M
564,2022,SE,FT,Data Analyst,116150,USD,US,100,US,M
565,2022,SE,FT,Data Engineer,54000,USD,US,0,US,M
566,2022,SE,FT,Data Analyst,170000,USD,US,100,US,M
567,2022,MI,FT,Data Analyst,50000,GBP,GB,0,GB,M
568,2022,SE,FT,Data Analyst,80000,USD,US,100,US,M
569,2022,SE,FT,Data Scientist,140000,USD,US,100,US,M
570,2022,SE,FT,Data Scientist,210000,USD,US,100,US,M
571,2022,SE,FT,Data Scientist,140000,USD,US,100,US,M
572,2022,SE,FT,Data Analyst,100000,USD,US,100,US,M
573,2022,SE,FT,Data Analyst,69000,USD,US,100,US,M
574,2022,SE,FT,Data Scientist,210000,USD,US,100,US,M
575,2022,SE,FT,Data Scientist,140000,USD,US,100,US,M
576,2022,SE,FT,Data Scientist,210000,USD,US,100,US,M
577,2022,SE,FT,Data Analyst,150075,USD,US,100,US,M
578,2022,SE,FT,Data Engineer,100000,USD,US,100,US,M
579,2022,SE,FT,Data Engineer,25000,USD,US,100,US,M
580,2022,SE,FT,Data Analyst,126500,USD,US,100,US,M
581,2022,SE,FT,Data Analyst,106260,USD,US,100,US,M
582,2022,SE,FT,Data Engineer,220110,USD,US,100,US,M
583,2022,SE,FT,Data Engineer,160080,USD,US,100,US,M
584,2022,SE,FT,Data Analyst,105000,USD,US,100,US,M
585,2022,SE,FT,Data Analyst,110925,USD,US,100,US,M
586,2022,MI,FT,Data Analyst,35000,GBP,GB,0,GB,M
587,2022,SE,FT,Data Scientist,140000,USD,US,100,US,M
588,2022,SE,FT,Data Analyst,99000,USD,US,0,US,M
589,2022,SE,FT,Data Analyst,60000,USD,US,100,US,M
590,2022,SE,FT,Data Architect,192564,USD,US,100,US,M
591,2022,SE,FT,Data Architect,144854,USD,US,100,US,M
592,2022,SE,FT,Data Scientist,230000,USD,US,100,US,M
593,2022,SE,FT,Data Scientist,150000,USD,US,100,US,M
594,2022,SE,FT,Data Analytics Manager,150260,USD,US,100,US,M
595,2022,SE,FT,Data Analytics Manager,109280,USD,US,100,US,M
596,2022,SE,FT,Data Scientist,210000,USD,US,100,US,M
597,2022,SE,FT,Data Analyst,170000,USD,US,100,US,M
598,2022,MI,FT,Data Scientist,160000,USD,US,100,US,M
599,2022,MI,FT,Data Scientist,130000,USD,US,100,US,M
600,2022,EN,FT,Data Analyst,67000,USD,CA,0,CA,M
601,2022,EN,FT,Data Analyst,52000,USD,CA,0,CA,M
602,2022,SE,FT,Data Engineer,154000,USD,US,100,US,M
603,2022,SE,FT,Data Engineer,126000,USD,US,100,US,M
604,2022,SE,FT,Data Analyst,129000,USD,US,0,US,M
605,2022,SE,FT,Data Analyst,150000,USD,US,100,US,M
606,2022,MI,FT,AI Scientist,200000,USD,IN,100,US,L
